MAL_ID,SEPERATE,Name,SEPERATE,Score,SEPERATE,Genres,SEPERATE,Type,SEPERATE,Episodes,SEPERATE,Premiered,SEPERATE,Ranked,SEPERATE,Popularity,SEPERATE,Favorites,END
1,SEPERATE,Cowboy Bebop,SEPERATE,8.78,SEPERATE,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 1998,SEPERATE,28,SEPERATE,39,SEPERATE,61971,END
5,SEPERATE,Cowboy Bebop: Tengoku no Tobira,SEPERATE,8.39,SEPERATE,"Action, Drama, Mystery, Sci-Fi, Space",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,159,SEPERATE,518,SEPERATE,1174,END
6,SEPERATE,Trigun,SEPERATE,8.24,SEPERATE,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 1998,SEPERATE,266,SEPERATE,201,SEPERATE,12944,END
7,SEPERATE,Witch Hunter Robin,SEPERATE,7.27,SEPERATE,"Action, Mystery, Police, Supernatural, Drama, Magic",SEPERATE,TV,SEPERATE,26,SEPERATE,Summer 2002,SEPERATE,2481,SEPERATE,1467,SEPERATE,587,END
8,SEPERATE,Bouken Ou Beet,SEPERATE,6.98,SEPERATE,"Adventure, Fantasy, Shounen, Supernatural",SEPERATE,TV,SEPERATE,52,SEPERATE,Fall 2004,SEPERATE,3710,SEPERATE,4369,SEPERATE,18,END
15,SEPERATE,Eyeshield 21,SEPERATE,7.95,SEPERATE,"Action, Sports, Comedy, Shounen",SEPERATE,TV,SEPERATE,145,SEPERATE,Spring 2005,SEPERATE,604,SEPERATE,1003,SEPERATE,2066,END
16,SEPERATE,Hachimitsu to Clover,SEPERATE,8.06,SEPERATE,"Comedy, Drama, Josei, Romance, Slice of Life",SEPERATE,TV,SEPERATE,24,SEPERATE,Spring 2005,SEPERATE,468,SEPERATE,687,SEPERATE,4101,END
17,SEPERATE,Hungry Heart: Wild Striker,SEPERATE,7.59,SEPERATE,"Slice of Life, Comedy, Sports, Shounen",SEPERATE,TV,SEPERATE,52,SEPERATE,Fall 2002,SEPERATE,1317,SEPERATE,3612,SEPERATE,231,END
18,SEPERATE,Initial D Fourth Stage,SEPERATE,8.15,SEPERATE,"Action, Cars, Sports, Drama, Seinen",SEPERATE,TV,SEPERATE,24,SEPERATE,Spring 2004,SEPERATE,360,SEPERATE,1233,SEPERATE,979,END
19,SEPERATE,Monster,SEPERATE,8.76,SEPERATE,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",SEPERATE,TV,SEPERATE,74,SEPERATE,Spring 2004,SEPERATE,30,SEPERATE,169,SEPERATE,29436,END
20,SEPERATE,Naruto,SEPERATE,7.91,SEPERATE,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",SEPERATE,TV,SEPERATE,220,SEPERATE,Fall 2002,SEPERATE,660,SEPERATE,8,SEPERATE,65586,END
21,SEPERATE,One Piece,SEPERATE,8.52,SEPERATE,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",SEPERATE,TV,SEPERATE,Unknown,SEPERATE,Fall 1999,SEPERATE,95,SEPERATE,31,SEPERATE,126645,END
22,SEPERATE,Tennis no Ouji-sama,SEPERATE,7.9,SEPERATE,"Action, Comedy, Sports, School, Shounen",SEPERATE,TV,SEPERATE,178,SEPERATE,Fall 2001,SEPERATE,675,SEPERATE,1039,SEPERATE,3124,END
23,SEPERATE,Ring ni Kakero 1,SEPERATE,6.38,SEPERATE,"Action, Shounen, Sports",SEPERATE,TV,SEPERATE,12,SEPERATE,Fall 2004,SEPERATE,6493,SEPERATE,7333,SEPERATE,16,END
24,SEPERATE,School Rumble,SEPERATE,7.94,SEPERATE,"Comedy, Romance, School, Shounen",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 2004,SEPERATE,625,SEPERATE,514,SEPERATE,5137,END
25,SEPERATE,Sunabouzu,SEPERATE,7.42,SEPERATE,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",SEPERATE,TV,SEPERATE,24,SEPERATE,Fall 2004,SEPERATE,1844,SEPERATE,1284,SEPERATE,790,END
